Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
DEU,High income,2002,15.001458456000023,2.787114695000014,2.787114695000014,2.787114695000014
DEU,High income,2003,-5.591562495000062,8.894286575500018,8.894286575500018,15.001458456000023
DEU,High income,2004,-20.283503338999935,4.065670218666658,4.065670218666658,-5.591562495000062
DEU,High income,2005,-27.120897370999955,-3.624535792666658,-2.02162317074999,-20.283503338999935
DEU,High income,2006,-1.3312459439999884,-17.665321068333316,-7.041478010799983,-27.120897370999955
DEU,High income,2007,-28.066557085,-16.245215551333292,-7.865150138599984,-1.3312459439999884
DEU,High income,2008,-10.135626253000055,-18.839566799999982,-16.47875324679999,-28.066557085
DEU,High income,2009,-72.13359730000002,-13.177809760666682,-17.387565998399985,-10.135626253000055
DEU,High income,2010,49.81408362000002,-36.778593546000025,-27.757584790600003,-72.13359730000002
DEU,High income,2011,-29.340188842999964,-10.818379977666686,-12.370588592400008,49.81408362000002
DEU,High income,2012,2.452933671999972,-17.219900840999987,-17.972377172200005,-29.340188842999964
DEU,High income,2013,20.08297947699998,7.642276149666675,-11.86847902080001,2.452933671999972
DEU,High income,2014,-39.432546312,-2.2680918980000038,-5.824757874800002,20.08297947699998
DEU,High income,2015,7.370181511000055,-5.632211054333349,0.7154523228000016,-39.432546312
DEU,High income,2016,0.07325514100000419,-3.993128441333321,-7.7733280989999916,7.370181511000055
DEU,High income,2017,-15.937270462000015,-10.663036553333313,-1.8906393021999974,0.07325514100000419
DEU,High income,2018,-27.429780512000093,-2.831277936666652,-5.568680128999995,-15.937270462000015
DEU,High income,2019,-49.098451249999925,-14.431265277666702,-15.071232126800009,-27.429780512000093
DEU,High income,2020,-55.318506301999946,-30.82183407466668,-17.004413114399995,-49.098451249999925
DEU,High income,2021,41.11439162299996,-43.948912687999986,-29.542150676999995,-55.318506301999946
DEU,High income,2022,-8.448709101000077,-21.10085530966664,-21.333923380600005,41.11439162299996
DJI,Lower middle income,2001,0.011709245316165795,,,
DJI,Lower middle income,2002,0.0291061996832902,0.011709245316165795,0.011709245316165795,0.011709245316165795
DJI,Lower middle income,2003,0.05592239022194989,0.020407722499727998,0.020407722499727998,0.0291061996832902
DJI,Lower middle income,2004,-0.008840677601979818,0.03224594507380196,0.03224594507380196,0.05592239022194989
DJI,Lower middle income,2005,-0.02607553221498038,0.025395970767753424,0.021974289404856517,-0.008840677601979818
DJI,Lower middle income,2006,-0.015666121272909894,0.007002060134996564,0.012364325080889138,-0.02607553221498038
DJI,Lower middle income,2007,0.03890277617331006,-0.016860777029956697,0.006889251763074001,-0.015666121272909894
DJI,Lower middle income,2008,0.09765219180000018,-0.0009462924381934042,0.008848567061077972,0.03890277617331006
DJI,Lower middle income,2009,-0.12945227560000006,0.04029628223346678,0.01719452737668803,0.09765219180000018
DJI,Lower middle income,2010,-5.4051336805000005,0.0023675641244367274,-0.0069277922229160184,-0.12945227560000006
DJI,Lower middle income,2011,-0.1808134607999996,-1.8123112547666669,-1.08273942187992,-5.4051336805000005
DJI,Lower middle income,2012,0.2011132370000004,-1.9051331389666668,-1.115768889785338,-0.1808134607999996
DJI,Lower middle income,2013,0.09183880799999944,-1.7949446347666667,-1.08332679762,0.2011132370000004
DJI,Lower middle income,2014,0.03823317400000015,0.037379528066666744,-1.0844894743800002,0.09183880799999944
DJI,Lower middle income,2015,-0.0665077471999993,0.110395073,-1.05095238446,0.03823317400000015
DJI,Lower middle income,2016,-0.0434183644000008,0.02118807826666676,0.016772802200000214,-0.0665077471999993
DJI,Lower middle income,2017,-0.06771779739999939,-0.02389764586666665,0.044251821479999974,-0.0434183644000008
DJI,Lower middle income,2018,0.06359761399999986,-0.05921463633333316,-0.009514385399999981,-0.06771779739999939
DJI,Lower middle income,2019,-0.0038758489999999313,-0.01584618260000011,-0.015162624199999896,0.06359761399999986
