iso_alpha_3,year,policy_flow_jur_stock_x_gov
HKG,2008,0.9855875517616728
HKG,2009,1.1315420285876119
HKG,2010,1.3061737544674517
HKG,2011,2.6763354364352714
HKG,2012,3.790696554267309
HKG,2013,4.629693382917966
HKG,2014,6.0154695998984185
HKG,2015,7.966102474113743
HKG,2016,9.272801581704305
HKG,2017,11.135510375259502
HKG,2018,12.872770897709245
HKG,2019,11.123407041554945
HKG,2020,9.821398196242365
HKG,2021,-1.0092723973080853
HKG,2022,-5.799651248057158
HKG,2023,-11.767973732511408
HKG,2024,-13.875574344204995
HND,1998,-1.307537822806939
HND,2000,-2.0067899607154027
HND,2002,-3.2399269446742966
HND,2003,-3.2274443852403385
HND,2004,-3.11512504997508
HND,2005,-3.013415173816149
HND,2006,-1.7698465017310376
HND,2007,-3.697362029577044
HND,2008,-7.246374198900347
HND,2009,-14.11820117733611
HND,2010,-17.603437196367935
HND,2011,-19.111876297366194
HND,2012,-21.93844285644634
HND,2013,-25.270990931706844
HND,2014,-33.84312076019932
HND,2015,-42.35902739187413
HND,2016,-52.87307844943924
HND,2017,-66.88675240006506
HND,2018,-83.09181985814362
HND,2019,-99.05306024386607
HND,2020,-106.23255467160718
HND,2021,-112.761754256981
HND,2022,-106.42654230514749
HND,2023,-111.46391301136657
HND,2024,-132.39334661615663
HRV,1996,-2.0728173182956837
HRV,1998,-3.2275080839871633
HRV,2000,2.905867969449755
HRV,2002,6.318320015769256
HRV,2003,8.136076571402878
HRV,2004,11.812309362753387
HRV,2005,13.141581151612158
HRV,2006,14.723604466173935
HRV,2007,19.675757848107196
HRV,2008,19.74750705233587
HRV,2009,23.956721179606017
HRV,2010,26.161851706821867
HRV,2011,25.75223691628297
HRV,2012,33.750513309340235
HRV,2013,35.8106634742803
HRV,2014,42.67144767396306
HRV,2015,51.91928855601782
HRV,2016,53.32565307908168
HRV,2017,52.859495693985835
HRV,2018,51.168457577670914
HRV,2019,62.46008938343537
HRV,2020,86.26358524806948
HRV,2021,101.67198260041735
HRV,2022,119.95309364299177
HRV,2023,147.14404106434114
HRV,2024,175.7263928475052
HTI,1996,-4.558314158880418
HTI,1998,-5.168236654752127
HTI,2000,-6.317585926502795
HTI,2002,-8.75013864728559
HTI,2003,-8.167623060083788
HTI,2004,-8.810027210311333
HTI,2005,-8.56089547357431
HTI,2006,-7.822223619388558
HTI,2007,-7.673173385901938
HTI,2008,-7.129196762186024
HTI,2009,-9.006490489753224
HTI,2010,-11.370604357161653
HTI,2011,-12.5794029438302
HTI,2012,-12.646566187184279
HTI,2013,-14.094210577314202
HTI,2014,-15.062731580003366
HTI,2015,-19.6887958466282
HTI,2016,-19.852461091891158
HTI,2017,-19.409657936161302
HTI,2018,-20.423161940434415
HTI,2019,-23.166145156700413
HTI,2020,-25.42917171118454
HTI,2021,-36.082814747058684
HTI,2022,-43.39743456660195
HTI,2023,-46.42182986225921
HTI,2024,-51.09141061281859
HUN,1996,23.564571686851966
HUN,1998,48.885640806302625
HUN,2000,89.48492276490046
HUN,2002,126.38891332026247
HUN,2003,159.39615229552803
HUN,2004,172.01011224909408
HUN,2005,224.29989047300583
HUN,2006,247.48746255022144
HUN,2007,277.0533973110017
HUN,2008,291.25848637469
HUN,2009,329.861683377631
HUN,2010,360.08328756976636
HUN,2011,376.4359545081992
HUN,2012,344.86106006653927
HUN,2013,354.06059785973105
HUN,2014,303.2410714701775
HUN,2015,301.89251335929686
HUN,2016,273.17247025901327
HUN,2017,269.90804644756105
HUN,2018,148.4624928131142
HUN,2019,158.29753349784633
HUN,2020,197.940977278403
HUN,2021,136.27116378915935
HUN,2022,112.24135783215348
HUN,2023,25.19569434587924
HUN,2024,48.82595298358901
IDN,1996,-17.919606786809712
